Group,-30,-20,-10,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360
DSS,0.931342155,0.935317325,0.956283601,0.068402076,0.118035364,0.140366492,0.168522427,0.167854828,0.190831129,0.206244285,0.216072579,0.218308927,0.165859781,0.232554383,0.243460272,0.25743744,0.246754999,0.279094389,0.284323589,0.287652646,0.293444811,0.283425822,0.266115007,0.296669205,0.308507052,0.323222053,0.32406557,0.351203014,0.330034314,0.328935396,0.346251809,0.340538182,0.344812504,0.370253165,0.341335623,0.369598811,0.354814815,0.358988095,0.379075761,0.380491664
DSS,0.665110203,0.728281184,0.714646836,0.06094964,0.093072231,0.119262445,0.12318197,0.138308769,0.163341682,0.157711315,0.165364398,0.163843093,0.183428333,0.170024625,0.200542542,0.183108014,0.19980629,0.217800035,0.212612409,0.211101532,0.210316783,0.22349659,0.231448512,0.243112424,0.229477665,0.225945238,0.246527484,0.272123399,0.261921405,0.252995601,0.269305168,0.274007968,0.280106454,0.270773946,0.295475418,0.281344221,0.268095662,0.277186324,0.296850173,0.291639621
DSS,1.181351679,1.188250382,1.227057159,0.146360365,0.191754502,0.265671201,0.277436891,0.307176634,0.324544271,0.345050755,0.359137959,0.365852997,0.381303748,0.396189611,0.400829464,0.405893981,0.417055768,0.425150618,0.469526079,0.423167536,0.435702312,0.421028013,0.467064288,0.495832128,0.505135654,0.508199265,0.473149039,0.518228125,0.509416495,0.547312199,0.54121948,0.530907658,0.544945609,0.537695368,0.551612649,0.572981244,0.504885386,0.480717967,0.51478819,0.548987218
DSS,1.233229616,1.187792056,1.197089397,0.119944035,0.170827777,0.194733153,0.234127239,0.257977776,0.271691391,0.285430134,0.308446409,0.30560557,0.333333333,0.358315621,0.37033472,0.386880031,0.396364547,0.399790868,0.387983614,0.408001486,0.405871053,0.429881926,0.441142572,0.435327012,0.452847353,0.462317347,0.462807926,0.479562413,0.450853211,0.482984293,0.489548988,0.477373052,0.502984625,0.50552215,0.522687023,0.478311944,0.525796569,0.525567304,0.502318674,0.523230858
DSS,0.876397995,0.840350943,0.891358498,0.118570042,0.152488147,0.183339309,0.186936332,0.206318528,0.227074404,0.239733803,0.273100616,0.244266458,0.272348544,0.296786317,0.299402834,0.332043251,0.319892688,0.354793365,0.364384464,0.348919495,0.381299575,0.349608838,0.358393732,0.391449592,0.397269625,0.407801273,0.384794664,0.434562975,0.417199256,0.427685289,0.428683694,0.431093673,0.41484802,0.437060297,0.446939515,0.468694393,0.458291457,0.45158039,0.440469602,0.470400453
DSS,1,1.028797696,1.065245949,0.081652541,0.144270909,0.151761278,0.166002695,0.205133696,0.219670888,0.235108493,0.25301479,0.246888811,0.240889493,0.279665588,0.281253815,0.283963388,0.254531788,0.295679012,0.294077624,0.31486603,0.328207142,0.312566804,0.327879132,0.357123342,0.325674296,0.326909862,0.349649688,0.348885153,0.374601296,0.404555204,0.411084678,0.50495663,0.400846377,0.43152242,0.424519349,0.432823786,0.405810142,0.439554281,0.435120462,0.488616941
DSS,1.29794045,1.224917857,1.241264122,0.133075776,0.218273337,0.230655687,0.252570574,0.30794437,0.29385836,0.312413542,0.309935776,0.304725025,0.336669798,0.359878606,0.3640553,0.372183806,0.355914176,0.383955077,0.380242944,0.398969932,0.385146203,0.388127049,0.382760053,0.392549347,0.421162931,0.453903506,0.427152088,0.419334567,0.423464286,0.425948214,0.432237872,0.447638457,0.421791327,0.422577964,0.43328801,0.451754386,0.459319954,0.438243145,0.449589725,0.450377054
DSS,1.844938061,1.7902224,1.58836689,0.475166631,0.637160573,0.673965448,0.789608345,0.820704846,0.820550536,1.023883929,1.025722741,1.114800968,0.96119403,1.11642235,1.084220907,1.064197011,0.9931207,1.230532544,0.962660944,1.017164654,1.371543489,1.302179177,1.275635209,1.16692607,1.21422731,1.200085598,1.293365134,1.509319777,1.464338416,1.366312144,1.78080636,1.410137177,1.529682702,1.772179897,1.586371218,1.819257221,1.750720084,1.622509702,1.991982732,1.630914045
DSS,0.742653414,0.574733582,0.604278617,0.058652448,0.176831683,0.238071767,0.295917383,0.314235774,0.429356789,0.349697032,0.27433714,0.344126105,0.411902818,0.378908947,0.223517979,0.345093503,0.41604458,0.346754395,0.271323608,0.394221352,0.419120044,0.374404639,0.322647465,0.340408163,0.382781718,0.498143181,0.421483757,0.400395648,0.37160517,0.488383492,0.322218059,0.45498926,0.462814701,0.434217315,0.447515986,0.483229814,0.457332841,0.505401923,0.355653231,0.466685951
DSS,1.970477919,1.712174018,1.793545535,0.288076821,0.413427562,0.437686057,0.553959315,0.545869565,0.566814909,0.576558713,0.600018652,0.660013307,0.773926539,0.746153846,0.651180503,0.763208674,0.709106562,0.818664966,0.774956025,0.91223132,0.771162052,0.868108652,0.92282054,0.647135027,0.929340511,0.698382749,0.891843442,1.059257496,0.994333158,0.837446252,0.780621233,0.954988747,0.911450233,0.980497575,0.889179756,0.823491419,1.066207832,1.012149716,0.892828843,0.991791405
DSS,1.074844545,1.293426368,1.102490315,0.297986577,0.274877957,0.460731645,0.390017475,0.52814873,0.550773632,0.562555345,0.489262268,0.461522221,0.476339106,0.578623566,0.605478782,0.567801248,0.84784676,0.899143793,0.645017036,0.678688142,0.857718494,0.820201127,0.697098007,0.638199238,0.740889566,0.881224192,0.819644773,0.810028249,0.791646192,0.760905761,0.663268812,0.645544555,0.720028569,0.92503023,0.752357973,0.86592906,0.874906832,0.847726822,0.846015399,0.881346198
